Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 336 0.358041 0.245302 0.189309 0.207348 1 
1 337 0.358591 0.244836 0.189725 0.206847 1 
1 338 0.358977 0.244352 0.190239 0.206432 1 
1 339 0.359198 0.243857 0.190839 0.206106 1 
1 340 0.359253 0.24336 0.191515 0.205872 1 
1 341 0.359135 0.242867 0.192261 0.205737 1 
1 342 0.358839 0.242386 0.19307 0.205705 1 
1 343 0.358357 0.241922 0.193938 0.205783 1 
1 344 0.35768 0.241481 0.194862 0.205976 1 
1 345 0.356799 0.241068 0.195841 0.206291 1 
1 346 0.355707 0.240687 0.196874 0.206733 1 
1 347 0.354396 0.240339 0.197961 0.207305 1 
1 348 0.35286 0.240028 0.199102 0.20801 1 
1 349 0.351098 0.239754 0.200299 0.208849 1 
1 350 0.349109 0.23952 0.20155 0.209821 1 
1 351 0.346899 0.239324 0.202855 0.210922 1 
1 352 0.344476 0.239168 0.20421 0.212146 1 
1 353 0.341853 0.239051 0.205611 0.213485 1 
1 354 0.339048 0.238975 0.207051 0.214926 1 
1 355 0.336085 0.238938 0.208521 0.216457 1 
1 356 0.332989 0.238942 0.21001 0.21806 1 
1 357 0.329792 0.238986 0.211504 0.219717 1 
1 358 0.32653 0.239072 0.212989 0.221409 1 
1 359 0.323239 0.2392 0.214448 0.223113 1 
1 360 0.319961 0.23937 0.21586 0.224809 1 
1 361 0.316736 0.239582 0.217208 0.226473 1 
1 362 0.313608 0.239836 0.218471 0.228085 1 
1 363 0.310619 0.24013 0.219628 0.229623 1 
1 364 0.307808 0.240463 0.220661 0.231068 1 
1 365 0.305216 0.240831 0.221552 0.232401 1 
1 366 0.302879 0.24123 0.222283 0.233608 1 
1 367 0.300828 0.241656 0.22284 0.234676 1 
1 368 0.299091 0.242102 0.223213 0.235594 1 
1 369 0.297691 0.24256 0.223392 0.236356 1 
1 370 0.296647 0.243024 0.223373 0.236956 1 
1 371 0.295968 0.243485 0.223153 0.237394 1 
1 372 0.295662 0.243933 0.222735 0.237669 1 
1 373 0.295729 0.24436 0.222124 0.237787 1 
1 374 0.296161 0.244758 0.221329 0.237752 1 
1 375 0.296948 0.245118 0.220362 0.237572 1 
1 376 0.298074 0.245435 0.219237 0.237255 1 
1 377 0.299515 0.245702 0.217971 0.236813 1 
1 378 0.301247 0.245915 0.216584 0.236254 1 
1 379 0.303241 0.246073 0.215095 0.235592 1 
1 380 0.305464 0.246175 0.213526 0.234835 1 
1 381 0.307882 0.246222 0.2119 0.233996 1 
1 382 0.31046 0.24622 0.210236 0.233084 1 
1 383 0.313163 0.246172 0.208556 0.232108 1 
1 384 0.315955 0.246086 0.206881 0.231079 1 
1 385 0.318801 0.245969 0.205227 0.230002 1 
1 386 0.321669 0.245832 0.203613 0.228886 1 
1 387 0.324529 0.245682 0.202052 0.227737 1 
1 388 0.327353 0.245529 0.200557 0.22656 1 
1 389 0.330117 0.245383 0.199139 0.225361 1 
1 390 0.332799 0.245252 0.197805 0.224144 1 
1 391 0.335382 0.245141 0.196563 0.222914 1 
1 392 0.337853 0.245057 0.195414 0.221675 1 
1 393 0.340201 0.245003 0.194363 0.220433 1 
1 394 0.342418 0.244981 0.193409 0.219192 1 
1 395 0.344501 0.244989 0.192553 0.217957 1 
1 396 0.346448 0.245026 0.191792 0.216735 1 
1 397 0.348259 0.245085 0.191124 0.215532 1 
1 398 0.349935 0.245162 0.190547 0.214356 1 
1 399 0.351479 0.245249 0.190058 0.213215 1 
1 400 0.352894 0.245335 0.189655 0.212116 1 
1 401 0.354182 0.245412 0.189336 0.21107 1 
1 402 0.355344 0.24547 0.1891 0.210086 1 
1 403 0.356383 0.245498 0.188946 0.209173 1 
1 404 0.357296 0.245489 0.188873 0.208342 1 
1 405 0.358081 0.245434 0.188884 0.207601 1 
1 406 0.358734 0.245326 0.18898 0.206961 1 
1 407 0.359247 0.245162 0.189162 0.206429 1 
1 408 0.359615 0.244938 0.189433 0.206014 1 
1 409 0.359826 0.244655 0.189797 0.205722 1 
1 410 0.359872 0.244314 0.190255 0.205559 1 
1 411 0.359742 0.24392 0.19081 0.205529 1 
1 412 0.359425 0.243479 0.191463 0.205633 1 
1 413 0.358913 0.242999 0.192215 0.205874 1 
1 414 0.358196 0.24249 0.193065 0.206249 1 
1 415 0.357269 0.241964 0.194012 0.206755 1 
1 416 0.356128 0.241433 0.195051 0.207388 1 
1 417 0.354772 0.240909 0.196178 0.20814 1 
1 418 0.353206 0.240406 0.197384 0.209005 1 
1 419 0.351436 0.239934 0.19866 0.20997 1 
1 420 0.349472 0.239507 0.199996 0.211026 1 
1 421 0.34733 0.239133 0.201377 0.21216 1 
1 422 0.345028 0.238824 0.202791 0.213357 1 
1 423 0.34259 0.238584 0.20422 0.214606 1 
1 424 0.34004 0.238421 0.205648 0.21589 1 
1 425 0.337408 0.238338 0.207057 0.217196 1 
1 426 0.334724 0.238337 0.20843 0.218509 1 
1 427 0.332021 0.238417 0.209747 0.219816 1 
1 428 0.32933 0.238577 0.21099 0.221103 1 
1 429 0.326685 0.238813 0.212144 0.222358 1 
1 430 0.324117 0.239121 0.213192 0.223569 1 
1 431 0.321659 0.239495 0.21412 0.224727 1 
1 432 0.319336 0.239928 0.214914 0.225822 1 
1 433 0.317177 0.240411 0.215565 0.226847 1 
1 434 0.315202 0.240939 0.216065 0.227795 1 
1 435 0.313431 0.241501 0.216406 0.228662 1 
1 436 0.311879 0.242089 0.216588 0.229444 1 
1 437 0.310558 0.242696 0.216608 0.230137 1 
1 438 0.309476 0.243313 0.216469 0.230742 1 
1 439 0.308635 0.243933 0.216176 0.231256 1 
1 440 0.308038 0.244546 0.215736 0.23168 1 
1 441 0.30768 0.245147 0.215159 0.232015 1 
1 442 0.307556 0.245728 0.214454 0.232261 1 
1 443 0.307659 0.246283 0.213636 0.232421 1 
1 444 0.307979 0.246806 0.212719 0.232496 1 
1 445 0.308504 0.247292 0.211718 0.232487 1 
1 446 0.309221 0.247734 0.210648 0.232396 1 
1 447 0.310119 0.24813 0.209526 0.232226 1 
1 448 0.311183 0.248474 0.208366 0.231976 1 
1 449 0.312401 0.248765 0.207185 0.231649 1 
1 450 0.31376 0.248999 0.205996 0.231245 1 
1 451 0.315246 0.249175 0.204812 0.230766 1 
1 452 0.316849 0.249293 0.203645 0.230213 1 
1 453 0.318556 0.249353 0.202505 0.229586 1 
1 454 0.320356 0.249357 0.2014 0.228888 1 
1 455 0.32224 0.249305 0.200336 0.228119 1 
1 456 0.324196 0.249203 0.199318 0.227283 1 
1 457 0.326214 0.249053 0.19835 0.226383 1 
1 458 0.328283 0.248862 0.197432 0.225423 1 
1 459 0.330392 0.248633 0.196567 0.224408 1 
1 460 0.332529 0.248373 0.195752 0.223345 1 
1 461 0.334682 0.248087 0.194988 0.222242 1 
1 462 0.336836 0.247782 0.194273 0.221108 1 
1 463 0.338977 0.247464 0.193606 0.219953 1 
1 464 0.341089 0.247136 0.192986 0.218789 1 
1 465 0.343155 0.246804 0.192412 0.217629 1 
1 466 0.345157 0.246471 0.191886 0.216486 1 
1 467 0.347077 0.246139 0.191408 0.215376 1 
1 468 0.348896 0.24581 0.190982 0.214312 1 
1 469 0.350595 0.245484 0.190611 0.21331 1 
1 470 0.352156 0.24516 0.190301 0.212383 1 
1 471 0.35356 0.244836 0.190058 0.211547 1 
1 472 0.354791 0.244509 0.189888 0.210812 1 
1 473 0.355835 0.244175 0.1898 0.21019 1 
1 474 0.356678 0.243831 0.1898 0.209691 1 
1 475 0.357309 0.243473 0.189898 0.209321 1 
1 476 0.357721 0.243095 0.1901 0.209084 1 
1 477 0.357909 0.242695 0.190413 0.208983 1 
1 478 0.357871 0.24227 0.190842 0.209017 1 
1 479 0.35761 0.241817 0.191391 0.209183 1 
1 480 0.357129 0.241336 0.192061 0.209474 1 
1 481 0.356437 0.240828 0.192853 0.209883 1 
1 482 0.355544 0.240294 0.193762 0.2104 1 
1 483 0.354465 0.239739 0.194784 0.211011 1 
1 484 0.353216 0.239169 0.195911 0.211705 1 
1 485 0.351814 0.238589 0.197131 0.212466 1 
1 486 0.350279 0.238009 0.198432 0.21328 1 
1 487 0.348633 0.237439 0.199797 0.214132 1 
1 488 0.346895 0.236888 0.201209 0.215007 1 
1 489 0.345089 0.236369 0.202649 0.215893 1 
1 490 0.343236 0.235891 0.204097 0.216776 1 
1 491 0.341355 0.235467 0.20553 0.217647 1 
1 492 0.339467 0.235108 0.206928 0.218497 1 
1 493 0.33759 0.234822 0.20827 0.219318 1 
1 494 0.33574 0.234618 0.209535 0.220107 1 
1 495 0.333933 0.234504 0.210704 0.220859 1 
1 496 0.332181 0.234483 0.211761 0.221575 1 
1 497 0.330495 0.23456 0.21269 0.222255 1 
1 498 0.328885 0.234735 0.213479 0.222901 1 
1 499 0.327357 0.235006 0.21412 0.223517 1 
1 500 0.325918 0.23537 0.214606 0.224106 1 
1 501 0.32457 0.235822 0.214934 0.224674 1 
1 502 0.323318 0.236353 0.215104 0.225225 1 
1 503 0.322164 0.236955 0.21512 0.225761 1 
1 504 0.321107 0.237617 0.214989 0.226287 1 
1 505 0.320151 0.238327 0.214719 0.226804 1 
1 506 0.319294 0.239073 0.214321 0.227312 1 
1 507 0.31854 0.239842 0.213808 0.22781 1 
1 508 0.317888 0.240621 0.213195 0.228295 1 
1 509 0.317341 0.241399 0.212498 0.228762 1 
