Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 390 0.391326 0.289452 0.104988 0.214234 1 
1 391 0.42105 0.278314 0.0974672 0.203169 1 
1 392 0.451324 0.265923 0.0907491 0.192003 1 
1 393 0.481585 0.252525 0.0849311 0.180959 1 
1 394 0.511285 0.238384 0.0800846 0.170247 1 
1 395 0.539913 0.223773 0.0762543 0.16006 1 
1 396 0.567004 0.20897 0.073458 0.150568 1 
1 397 0.592148 0.19425 0.0716868 0.141915 1 
1 398 0.615001 0.179878 0.0709066 0.134214 1 
1 399 0.63529 0.166101 0.0710607 0.127549 1 
1 400 0.652815 0.153146 0.0720721 0.121967 1 
1 401 0.667455 0.141209 0.0738474 0.117488 1 
1 402 0.679164 0.130456 0.0762806 0.114099 1 
1 403 0.687972 0.121014 0.0792577 0.111757 1 
1 404 0.693972 0.112971 0.0826604 0.110397 1 
1 405 0.697324 0.106374 0.0863711 0.109931 1 
1 406 0.698237 0.101229 0.0902766 0.110257 1 
1 407 0.696966 0.0975014 0.0942723 0.11126 1 
1 408 0.693798 0.0951183 0.098265 0.112819 1 
1 409 0.68904 0.0939716 0.102176 0.114813 1 
1 410 0.683011 0.0939224 0.105943 0.117124 1 
1 411 0.676029 0.094807 0.109522 0.119642 1 
1 412 0.668399 0.0964425 0.112886 0.122272 1 
1 413 0.660408 0.0986336 0.116026 0.124932 1 
1 414 0.652309 0.10118 0.118951 0.127559 1 
1 415 0.644322 0.103884 0.121684 0.13011 1 
1 416 0.636621 0.106557 0.124261 0.132561 1 
1 417 0.629336 0.109027 0.126728 0.134909 1 
1 418 0.622547 0.111145 0.129138 0.137169 1 
1 419 0.616288 0.112791 0.131546 0.139375 1 
1 420 0.610541 0.113878 0.134008 0.141574 1 
1 421 0.605247 0.114355 0.136575 0.143823 1 
1 422 0.600307 0.114211 0.139293 0.146189 1 
1 423 0.595587 0.113475 0.142196 0.148742 1 
1 424 0.590927 0.112215 0.145307 0.151551 1 
1 425 0.586146 0.110536 0.148634 0.154684 1 
1 426 0.581054 0.108578 0.15217 0.158198 1 
1 427 0.575456 0.106508 0.155892 0.162143 1 
1 428 0.569163 0.104521 0.159762 0.166554 1 
1 429 0.562001 0.102824 0.163727 0.171448 1 
1 430 0.553815 0.101635 0.16772 0.17683 1 
1 431 0.544479 0.101175 0.171664 0.182683 1 
1 432 0.5339 0.101655 0.175472 0.188974 1 
1 433 0.522024 0.103271 0.179054 0.195652 1 
1 434 0.508837 0.106196 0.182317 0.202651 1 
1 435 0.494371 0.110572 0.185169 0.209889 1 
1 436 0.478699 0.116503 0.187524 0.217274 1 
1 437 0.461942 0.124051 0.189305 0.224703 1 
1 438 0.444259 0.133228 0.190444 0.232069 1 
1 439 0.425849 0.144001 0.19089 0.23926 1 
1 440 0.406948 0.15628 0.190608 0.246165 1 
1 441 0.387817 0.169927 0.18958 0.252676 1 
1 442 0.368745 0.184758 0.187806 0.258691 1 
